last_name, first_name,player_id,year,b_ab,b_strikeout,b_walk,batting_avg,slg_percent,on_base_percent,b_rbi,b_total_bases,r_total_stolen_base,r_run,
Burnes, Corbin,669203,2021,52,26,3,.154,.154,.186,4,8,0,1,
Murphy, Sean,669221,2021,393,114,40,.216,.405,.306,59,159,0,47,
Senzel, Nick,669222,2021,111,16,12,.252,.315,.323,8,35,2,18,
Edman, Tommy,669242,2021,641,95,38,.262,.387,.307,56,248,30,91,
Solak, Nick,669256,2021,458,107,34,.242,.362,.313,49,166,7,57,
Smith, Will,669257,2021,414,101,58,.258,.495,.365,76,205,3,71,
Johnson, Daniel,669288,2021,77,27,4,.221,.377,.259,5,29,1,9,
Espinal, Santiago,669289,2021,222,30,22,.311,.405,.374,17,90,6,32,
Hiura, Keston,669374,2021,173,77,14,.168,.301,.254,19,52,3,16,
Burger, Jake,669394,2021,38,15,4,.263,.474,.333,3,18,0,5,
Rogers, Trevor,669432,2021,43,27,1,.070,.070,.087,0,3,0,0,
Long, Sammy,669674,2021,10,4,0,.100,.100,.091,0,1,0,0,
Hays, Austin,669720,2021,488,107,28,.256,.461,.306,71,225,4,73,
White, Mitch,669952,2021,15,11,1,.000,.000,.063,0,0,0,1,
Lopez, Nicky,670032,2021,497,74,49,.300,.378,.358,43,188,22,78,
Raley, Luke,670042,2021,66,25,2,.182,.288,.250,4,19,0,5,
Heath, Nick,670084,2021,35,15,4,.143,.171,.231,1,6,0,3,
Short, Zack,670097,2021,156,59,22,.141,.282,.239,20,44,2,21,
Rojas, Jose,670351,2021,168,50,15,.208,.399,.277,15,67,2,26,
Young, Andrew,670370,2021,91,45,6,.209,.484,.298,15,44,0,13,
Alvarez, Yordan,670541,2021,537,145,50,.277,.531,.346,104,285,1,92,
Paredes, Isaac,670623,2021,72,11,10,.208,.319,.306,5,23,0,7,
Brosseau, Mike,670712,2021,150,53,15,.187,.347,.266,18,52,2,21,
Walls, Taylor,670764,2021,152,49,23,.211,.296,.313,15,45,4,15,
Gonzalez, Luis,670768,2021,8,2,3,.250,.500,.455,0,4,0,2,
Friedl Jr., TJ,670770,2021,31,2,4,.290,.419,.361,2,13,0,9,
Oviedo, Johan,670912,2021,20,9,2,.150,.150,.227,2,3,0,3,
Garcia, Luis,671277,2021,236,43,11,.242,.411,.275,22,97,0,29,
Kelenic, Jarred,672284,2021,337,106,36,.181,.350,.265,43,118,6,41,
Kirk, Alejandro,672386,2021,165,22,19,.242,.436,.328,24,72,0,19,
Perdomo, Geraldo,672695,2021,31,6,6,.258,.419,.378,1,13,0,5,
Devers, Jose,672701,2021,41,11,3,.244,.317,.304,5,13,0,7,
Marcano, Tucupita,672779,2021,44,9,6,.182,.205,.280,3,9,0,7,
Robert, Luis,673357,2021,275,61,14,.338,.567,.378,43,156,6,42,
Akiyama, Shogo,673451,2021,162,40,14,.204,.253,.279,12,41,2,16,
Kim, Ha-Seong,673490,2021,267,71,22,.202,.352,.268,34,94,6,27,
Miller, Brian,675649,2021,11,3,0,.273,.273,.273,0,3,0,1,
Smith, Kevin,675656,2021,32,11,3,.094,.188,.194,1,6,0,2,
Clement, Ernie,676391,2021,121,19,7,.231,.339,.278,9,41,0,16,
Barrero, Jose,676480,2021,50,17,3,.200,.320,.286,3,16,1,4,
Reks, Zach,676646,2021,10,7,0,.000,.000,.000,0,0,0,2,
Meyers, Jake,676694,2021,146,50,10,.260,.438,.319,28,64,3,22,
Trejo, Alan,676701,2021,46,15,3,.217,.326,.260,3,15,0,7,
McCormick, Chas,676801,2021,284,104,25,.257,.447,.319,50,127,4,47,
Peacock, Matt,676840,2021,16,4,1,.250,.250,.294,2,4,1,3,
Franco, Wander,677551,2021,281,37,24,.288,.463,.347,39,130,2,53,
Weathers, Ryan,677960,2021,27,7,1,.148,.259,.179,1,7,0,3,
Gray, Josiah,680686,2021,22,12,1,.045,.045,.083,0,1,0,0,
Duran, Jarren,680776,2021,107,40,4,.215,.336,.241,10,36,2,17,
Jeffers, Ryan,680777,2021,267,108,22,.199,.401,.270,35,107,0,28,
Miller, Owen,680911,2021,191,54,9,.204,.309,.243,18,59,2,17,
Vaughn, Andrew,683734,2021,417,101,41,.235,.396,.309,48,165,1,56,
