last_name, first_name,player_id,year,b_ab,b_strikeout,b_walk,batting_avg,slg_percent,on_base_percent,b_rbi,b_total_bases,r_total_stolen_base,r_run,
O'Leary, Troy,,2001,341,73,25,.240,.437,.298,50,149,1,50,
Pride, Curtis,,2001,76,22,9,.250,.355,.345,9,27,3,8,
Leiter, Al,,2001,62,28,2,.065,.097,.094,3,6,0,2,
Ward, Daryle,,2001,213,48,19,.263,.460,.323,39,98,0,21,
Sanchez, Alex,,2001,68,13,5,.206,.309,.260,4,21,6,7,
Palmeiro, Rafael,,2001,600,90,101,.273,.563,.381,123,338,1,98,
Suzuki, Ichiro,,2001,692,53,30,.350,.457,.379,69,316,56,127,
Roberts, Dave,,2001,12,2,1,.333,.417,.385,2,5,0,3,
Ducey, Rob,,2001,73,25,16,.233,.397,.366,12,29,0,10,
Stairs, Matt,,2001,340,76,52,.250,.462,.357,61,157,2,48,
Clapp, Stubby,,2001,25,7,1,.200,.280,.231,1,7,0,0,
Walker, Larry,,2001,497,103,82,.350,.662,.449,123,329,14,107,
Koskie, Corey,,2001,562,118,68,.276,.488,.362,103,274,27,100,
Garcia, Karim,,2001,45,13,3,.311,.711,.360,9,32,0,8,
Durazo, Erubiel,,2001,175,49,28,.269,.537,.372,38,94,0,34,
Valdez, Mario,,2001,54,18,12,.278,.352,.418,8,19,0,7,
Chen, Bruce,,2001,47,19,0,.128,.128,.115,0,6,0,1,
Simon, Randall,,2001,256,28,15,.305,.445,.339,37,114,0,28,
Prokopec, Luke,,2001,36,13,0,.194,.222,.163,0,8,0,1,
Benard, Marvin,,2001,392,66,29,.265,.439,.319,44,172,10,70,
Jennings, Robin,,2001,132,18,7,.265,.424,.300,18,56,0,14,
Chavez, Endy,,2001,77,8,3,.208,.234,.238,5,18,0,4,
Abreu, Bobby,,2001,588,137,106,.289,.543,.393,110,319,36,118,
Daal, Omar,,2001,55,10,1,.236,.255,.222,5,14,0,7,
Rios, Armando,,2001,319,74,36,.260,.464,.331,50,148,3,38,
Ledee, Ricky,,2001,242,58,23,.231,.351,.301,36,85,3,33,
Guzman, Edwards,,2001,115,16,5,.243,.374,.273,7,43,0,8,
Vazquez, Ramon,,2001,35,3,0,.229,.229,.216,4,8,0,5,
Hernandez, Alex,,2001,11,2,0,.091,.091,.091,0,1,0,0,
Cora, Alex,,2001,405,58,31,.217,.306,.283,29,124,0,38,
Delgado, Carlos,,2001,574,136,111,.279,.540,.408,102,310,3,102,
Ortiz, David,,2001,303,68,40,.234,.475,.323,48,144,1,46,
Perez, Odalis,,2001,26,6,0,.192,.231,.207,1,6,0,1,
Pena, Carlos,,2001,62,17,10,.258,.500,.361,12,31,0,6,
Sanchez, Jesus,,2001,17,3,0,.235,.235,.211,1,4,0,2,
Tavarez, Julian,,2001,41,17,3,.122,.122,.145,4,5,0,4,
Perez, Timo,,2001,239,25,12,.247,.356,.281,22,85,1,26,
Pickering, Calvin,,2001,54,15,8,.278,.463,.371,8,25,0,4,
Mirabelli, Doug,,2001,190,57,27,.226,.453,.330,29,86,0,20,
Pratt, Todd,,2001,173,61,34,.185,.301,.325,11,52,1,18,
Young, Kevin,,2001,449,119,42,.232,.399,.310,65,179,15,53,
Collier, Lou,,2001,127,30,17,.252,.378,.338,14,48,5,19,
Dunston, Shawon,,2001,186,32,2,.280,.511,.290,25,95,3,26,
Bogar, Tim,,2001,15,1,2,.333,.867,.412,2,13,0,4,
Person, Robert,,2001,67,36,3,.119,.224,.147,6,15,0,4,
Reith, Brian,,2001,12,4,0,.250,.250,.250,2,3,1,0,
Stinnett, Kelly,,2001,187,61,17,.257,.460,.332,25,86,2,27,
Palmer, Dean,,2001,216,59,27,.222,.426,.317,40,92,4,34,
Williams, Gerald,,2001,279,55,18,.201,.308,.258,19,86,13,42,
Wilson, Tom,,2001,21,5,1,.190,.476,.250,4,10,0,4,
Merloni, Lou,,2001,146,31,6,.267,.397,.302,13,58,2,21,
Gonzalez, Alex,,2001,636,149,43,.253,.388,.300,76,247,18,79,
Lo Duca, Paul,,2001,460,30,39,.320,.543,.370,90,250,2,71,
Gutierrez, Ricky,,2001,528,56,40,.290,.402,.335,66,212,4,76,
Gipson, Charles,,2001,64,20,4,.219,.313,.278,5,20,1,16,
Herndon, Junior,,2001,12,11,0,.000,.000,.000,0,0,0,0,
Appier, Kevin,,2001,62,24,1,.113,.113,.134,4,7,0,4,
Trachsel, Steve,,2001,56,13,0,.161,.179,.148,2,10,0,2,
Paul, Josh,,2001,139,25,13,.266,.410,.325,18,57,6,20,
Millar, Kevin,,2001,449,70,39,.314,.557,.374,85,250,0,62,
Young Sr., Eric,,2001,603,45,42,.279,.393,.326,42,237,31,98,
Hayes, Charlie,,2001,50,16,7,.200,.240,.293,4,12,0,4,
Wilson, Jack,,2001,390,70,16,.223,.295,.245,25,115,1,44,
Jordan, Brian,,2001,560,88,31,.295,.496,.334,97,278,3,82,
Thomas, Frank,,2001,68,12,10,.221,.441,.316,10,30,0,8,
Reynolds, Shane,,2001,52,26,1,.077,.135,.079,4,7,0,4,
Abernathy, Brent,,2001,304,35,27,.270,.382,.325,34,116,8,43,
Bellinger, Clay,,2001,81,23,4,.160,.383,.205,12,31,1,12,
Allen, Chad,,2001,175,37,19,.263,.429,.333,20,75,1,20,
Smith, Mark,,2001,194,38,23,.242,.412,.324,18,80,0,28,
Mohr, Dustan,,2001,51,17,5,.235,.275,.298,4,14,1,6,
Hampton, Mike,,2001,79,21,2,.291,.582,.291,16,46,0,20,
Reed, Rick,,2001,40,15,1,.125,.150,.130,4,6,0,2,
Oliver, Joe,,2001,48,15,2,.250,.354,.264,3,17,0,4,
McCarty, Dave,,2001,200,45,24,.250,.405,.326,26,81,0,26,
Giles, Marcus,,2001,244,37,28,.262,.430,.337,31,105,2,36,
Boone, Bret,,2001,623,110,40,.331,.578,.370,141,360,5,118,
Brosius, Scott,,2001,428,83,34,.287,.446,.339,49,191,3,57,
Little, Mark,,2001,85,20,1,.341,.518,.378,13,44,5,18,
Burkett, John,,2001,65,29,3,.092,.092,.120,1,6,0,2,
Chacon, Shawn,,2001,47,22,0,.043,.043,.055,1,2,0,2,
Barrett, Michael,,2001,472,54,25,.250,.367,.287,38,173,2,42,
Graffanino, Tony,,2001,145,29,16,.303,.407,.361,15,59,4,23,
Maddux, Greg,,2001,64,19,2,.188,.188,.198,3,12,0,3,
Lopez, Albie,,2001,29,13,2,.034,.034,.118,0,1,0,0,
Penny, Brad,,2001,62,19,1,.161,.210,.167,1,13,0,5,
Wilson, Dan,,2001,377,69,20,.265,.403,.299,42,152,3,44,
Larson, Brandon,,2001,33,10,2,.121,.182,.171,1,6,0,2,
Coolbaugh, Mike,,2001,70,16,5,.200,.371,.273,7,26,0,10,
Piatt, Adam,,2001,95,26,13,.211,.284,.297,6,27,0,9,
Fasano, Sal,,2001,85,31,5,.200,.365,.271,9,31,0,12,
Laker, Tim,,2001,33,8,6,.182,.273,.300,5,9,0,5,
Spivey, Junior,,2001,163,47,23,.258,.423,.344,21,69,3,33,
Stynes, Chris,,2001,361,56,20,.280,.410,.321,33,148,4,52,
Nevin, Phil,,2001,546,147,71,.306,.588,.388,126,321,4,97,
Minor, Ryan,,2001,95,31,9,.158,.242,.234,13,23,0,10,
Byrnes, Eric,,2001,38,6,4,.237,.500,.326,5,19,1,9,
Payton, Jay,,2001,361,52,18,.255,.371,.298,34,134,4,44,
Bell, Rob,,2001,7,4,1,.143,.143,.200,0,1,0,0,
Fryman, Travis,,2001,334,63,30,.263,.335,.327,38,112,1,34,
Hiatt, Phil,,2001,50,19,3,.240,.420,.283,6,21,0,6,
Bell, Derek,,2001,156,38,25,.173,.288,.284,13,45,0,14,
Miller, Wade,,2001,66,20,2,.167,.197,.167,1,13,0,6,
LaRue, Jason,,2001,364,106,27,.236,.404,.303,43,147,3,39,
Bennett, Gary,,2001,131,24,12,.244,.351,.304,10,46,0,15,
Eckstein, David,,2001,582,60,43,.285,.357,.346,41,208,29,82,
Martinez, Edgar,,2001,470,90,93,.306,.543,.423,116,255,4,80,
Elarton, Scott,,2001,38,10,1,.079,.079,.149,2,3,0,1,
Greene, Todd,,2001,96,21,3,.208,.281,.240,11,27,0,9,
Girardi, Joe,,2001,229,50,21,.253,.345,.312,25,79,0,22,
LeCroy, Matthew,,2001,40,8,0,.425,.775,.429,12,31,0,6,
Moeller, Chad,,2001,56,12,6,.232,.321,.302,2,18,0,8,
Conine, Jeff,,2001,524,75,64,.311,.443,.386,97,232,12,75,
Stewart, Shannon,,2001,640,72,46,.316,.463,.371,60,296,27,103,
Spencer, Shane,,2001,283,58,21,.258,.428,.315,46,121,4,40,
Curtis, Chad,,2001,115,21,14,.252,.357,.338,10,41,7,24,
Witt, Bobby,,2001,12,7,0,.250,.250,.231,0,3,0,0,
Prince, Tom,,2001,196,39,12,.219,.357,.284,23,70,3,19,
Haselman, Bill,,2001,130,27,8,.285,.400,.329,25,52,0,12,
Bartee, Kimera,,2001,15,5,2,.000,.000,.158,1,0,0,0,
Kendall, Jason,,2001,606,48,44,.266,.358,.335,53,217,13,84,
Konerko, Paul,,2001,582,89,54,.282,.507,.349,99,295,1,92,
McGwire, Mark,,2001,299,118,56,.187,.492,.316,64,147,0,48,
Aurilia, Rich,,2001,636,83,47,.324,.572,.367,97,364,1,114,
Sanders, Reggie,,2001,441,126,46,.263,.549,.337,90,242,14,84,
Quinn, Mark,,2001,453,69,12,.269,.459,.298,60,208,9,57,
Tollberg, Brian,,2001,40,17,2,.200,.200,.213,1,8,0,4,
Bagwell, Jeff,,2001,600,135,106,.288,.568,.397,130,341,11,126,
Jordan, Kevin,,2001,113,21,14,.239,.310,.323,13,35,0,9,
Valentin, John,,2001,60,8,9,.200,.283,.314,5,17,0,8,
Clayton, Royce,,2001,433,72,33,.263,.393,.309,60,170,10,62,
Cordova, Marty,,2001,409,81,23,.301,.506,.348,69,207,0,61,
Berg, Dave,,2001,215,39,14,.242,.363,.289,16,78,0,26,
Owens, Eric,,2001,400,59,29,.253,.335,.300,28,134,8,51,
Phelps, Josh,,2001,12,5,2,.000,.000,.143,1,0,1,3,
Reitsma, Chris,,2001,48,24,2,.104,.125,.138,1,6,0,3,
D'Amico, Jeff,,2001,15,5,2,.067,.200,.176,0,3,0,0,
Brown, Kevin,,2001,43,18,2,.209,.535,.261,12,23,0,7,
Boone, Aaron,,2001,381,71,29,.294,.483,.349,62,184,6,54,
Brown, Emil,,2001,137,49,16,.190,.299,.284,13,41,12,21,
Mouton, Lyle,,2001,17,7,0,.059,.059,.059,1,1,0,1,
Buchanan, Brian,,2001,197,58,19,.274,.487,.342,32,96,1,28,
Oswalt, Roy,,2001,47,12,1,.191,.213,.196,3,10,0,3,
Mattes, Troy,,2001,15,2,0,.467,.533,.438,1,8,0,4,
Biggio, Craig,,2001,617,100,66,.292,.455,.382,70,281,7,118,
Inge, Brandon,,2001,189,41,9,.180,.238,.213,15,45,1,13,
Randa, Joe,,2001,581,80,42,.253,.386,.307,83,224,3,59,
Rolls, Damian,,2001,237,47,10,.262,.342,.289,12,81,12,33,
Thompson, Ryan,,2001,31,8,1,.290,.452,.313,2,14,0,6,
Clark, Brady,,2001,129,16,22,.264,.426,.363,18,55,4,22,
Redding, Tim,,2001,14,11,0,.214,.214,.188,1,3,0,0,
Jensen, Ryan,,2001,12,3,1,.167,.167,.231,2,2,0,0,
Brower, Jim,,2001,26,8,0,.308,.346,.286,3,9,0,6,
Hinch, A.J.,,2001,121,26,8,.157,.331,.224,15,40,1,10,
Barajas, Rod,,2001,106,26,4,.160,.274,.189,9,29,0,9,
Piazza, Mike,,2001,503,87,67,.300,.573,.384,94,288,0,81,
Johnson, Russ,,2001,248,57,34,.294,.435,.375,33,108,2,32,
Grissom, Marquis,,2001,448,107,16,.221,.404,.250,60,181,7,56,
Ochoa, Alex,,2001,536,76,45,.276,.403,.332,52,216,17,73,
Smith, Chuck,,2001,26,8,1,.192,.192,.207,3,5,0,1,
Hermanson, Dustin,,2001,62,30,2,.081,.097,.101,3,6,0,2,
Baldwin, James,,2001,28,13,0,.071,.107,.069,1,3,0,0,
Wood, Kerry,,2001,48,15,1,.188,.208,.161,2,10,0,3,
Bell, Jay,,2001,428,79,65,.248,.400,.344,46,171,0,59,
Hubbard, Trenidad,,2001,12,2,0,.250,.417,.250,0,5,0,2,
Burrell, Pat,,2001,539,162,70,.258,.469,.346,89,253,2,70,
Hammonds, Jeffrey,,2001,174,42,14,.247,.425,.314,21,74,5,20,
Clement, Matt,,2001,50,18,3,.080,.080,.115,0,4,0,2,
Wooten, Shawn,,2001,221,42,5,.312,.466,.332,32,103,2,24,
Lansing, Mike,,2001,352,50,22,.250,.384,.291,34,135,3,45,
Woodward, Chris,,2001,63,14,1,.190,.397,.197,5,25,0,9,
Servais, Scott,,2001,16,3,2,.375,.375,.444,0,6,0,1,
Frye, Jeff,,2001,175,18,12,.246,.326,.299,15,57,2,24,
Hillenbrand, Shea,,2001,468,61,13,.263,.391,.290,49,183,3,52,
Glaus, Troy,,2001,588,158,107,.250,.531,.367,108,312,10,100,
Gant, Ron,,2001,252,80,35,.258,.452,.342,35,114,5,46,
Lewis, Darren,,2001,164,25,8,.280,.366,.317,12,60,5,18,
Tapani, Kevin,,2001,50,14,1,.240,.240,.224,2,12,0,1,
Benes, Andy,,2001,32,15,1,.156,.250,.171,4,8,0,1,
Hall, Toby,,2001,188,16,4,.298,.447,.321,30,84,2,28,
Hairston Jr., Jerry,,2001,532,73,44,.233,.344,.301,47,183,29,63,
Coleman, Michael,,2001,38,15,0,.211,.289,.205,7,11,0,5,
Hunter, Brian L.,,2001,145,25,16,.276,.359,.337,16,52,14,22,
Brumbaugh, Cliff,,2001,46,14,3,.217,.326,.265,4,15,0,6,
Wright, Jamey,,2001,67,20,3,.194,.209,.216,4,14,0,7,
Sexson, Richie,,2001,598,178,60,.271,.547,.342,125,327,2,94,
Johnson, Charles,,2001,451,133,38,.259,.450,.321,75,203,0,51,
DeRosa, Mark,,2001,164,19,12,.287,.390,.348,20,64,2,27,
Halter, Shane,,2001,450,100,37,.284,.467,.339,65,210,3,53,
Vaughn, Greg,,2001,485,130,71,.233,.433,.333,82,210,11,74,
Colangelo, Mike,,2001,91,30,8,.242,.407,.310,8,37,0,10,
Sheffield, Gary,,2001,515,67,94,.311,.583,.417,100,300,10,98,
Bere, Jason,,2001,62,18,0,.194,.258,.174,2,16,0,2,
Bottenfield, Kent,,2001,14,5,0,.143,.143,.133,0,2,0,0,
Thomson, John,,2001,29,15,1,.241,.310,.222,1,9,0,3,
Lopez Jr., Luis,,2001,119,16,8,.244,.353,.289,10,42,0,10,
Gardner, Mark,,2001,21,8,1,.000,.000,.038,1,0,0,1,
Ausmus, Brad,,2001,422,64,30,.232,.341,.280,34,144,4,45,
Matheny, Mike,,2001,381,76,28,.218,.304,.271,42,116,0,40,
Sadler, Donnie,,2001,185,37,18,.162,.211,.237,5,39,7,28,
Kent, Jeff,,2001,607,96,65,.298,.507,.369,106,308,7,84,
Cirillo, Jeff,,2001,528,63,43,.313,.473,.363,83,250,12,72,
Hill, Glenallen,,2001,66,20,0,.136,.182,.136,2,12,0,4,
Vogelsong, Ryan,,2001,10,3,0,.100,.200,.100,0,2,0,0,
Karros, Eric,,2001,438,101,41,.235,.388,.303,63,170,3,42,
Bush, Homer,,2001,271,50,8,.306,.387,.333,27,105,13,32,
Velarde, Randy,,2001,342,86,34,.278,.424,.352,32,145,6,50,
Larkin, Barry,,2001,156,25,27,.256,.372,.373,17,58,3,29,
Magee, Wendell,,2001,207,44,23,.213,.377,.292,17,78,3,26,
Salmon, Tim,,2001,475,121,96,.227,.383,.365,49,182,9,63,
Helms, Wes,,2001,216,56,21,.222,.435,.293,36,94,1,28,
Trammell, Bubba,,2001,490,78,48,.261,.467,.330,92,229,2,66,
Smoltz, John,,2001,7,3,1,.000,.000,.100,0,0,0,0,
Schmidt, Jason,,2001,49,22,1,.163,.286,.161,4,14,0,5,
Fordyce, Brook,,2001,292,56,21,.209,.322,.266,19,94,1,30,
Flaherty, John,,2001,248,33,10,.238,.363,.264,29,90,1,20,
Harvey, Ken,,2001,12,4,0,.250,.333,.250,2,4,0,1,
Butler, Brent,,2001,119,7,7,.244,.345,.282,14,41,1,17,
Grudzielanek, Mark,,2001,539,83,28,.271,.393,.316,55,212,4,83,
Martinez, Ramon,,2001,391,52,38,.253,.353,.318,37,138,1,48,
Mouton, James,,2001,138,40,11,.246,.348,.323,10,48,7,20,
Buford, Damon,,2001,85,23,4,.176,.306,.213,8,26,0,11,
Mlicki, Dave,,2001,27,11,0,.111,.111,.097,0,3,0,2,
Lieberthal, Mike,,2001,121,21,12,.231,.347,.316,11,42,0,21,
Easley, Damion,,2001,585,90,52,.250,.376,.321,65,220,10,77,
Shumpert, Terry,,2001,242,44,15,.289,.438,.332,24,106,14,37,
Paquette, Craig,,2001,340,67,18,.282,.465,.322,64,158,3,47,
Jones, Bobby,,2001,57,18,3,.140,.175,.177,1,10,0,5,
Rigdon, Paul,,2001,20,3,0,.200,.200,.160,1,4,0,1,
Smith, Bobby,,2001,19,10,3,.105,.105,.227,1,2,0,1,
